Designator,Mid X,Mid Y,Rotation,Layer
C_1V-Decoup1,55.85,-75.975,90.0,bottom
C_1V-Decoup2,60.425,-74.6,90.0,bottom
C_1V-Decoup3,56.55,-90.65,270.0,bottom
C_3V-Decoup1,46.45,-60.75,0.0,bottom
C_3V-Decoup2,54.7,-76.975,90.0,bottom
C_3V-Decoup3,59.175,-73.975,90.0,bottom
C_3V-Decoup4,53.4,-84.25,0.0,bottom
C_3V-Decoup5,52.55,-79.75,0.0,bottom
C_3V-Decoup6,63.75,-79.675,90.0,bottom
C_3V-Decoup7,52.55,-78.7,0.0,bottom
C_3V-Decoup8,57.9,-90.65,270.0,bottom
C_3V-Decoup9,65.75,-85.9,225.0,bottom
C_Crystal1,63.4,-93.425,270.0,bottom
C_Crystal2,57.3,-93.425,90.0,bottom
C_Flash1,75.3,-74.625,90.0,bottom
C_LDO1,47.45,-54.625,0.0,bottom
C_LDO2,46.45,-59.65,0.0,bottom
C_Shield1,59.4,-41.925,90.0,bottom
D1,44.375,-50.1,90.0,bottom
D10,72.95,-127.25,90.0,bottom
D11,87.225,-107.25,90.0,bottom
D12,82.475,-51.05,90.0,bottom
D13,92.0,-69.15,90.0,bottom
D14,96.775,-88.2,90.0,bottom
D15,96.775,-127.25,90.0,bottom
D16,101.525,-51.05,90.0,bottom
D17,111.05,-69.15,90.0,bottom
D18,115.8,-88.2,90.0,bottom
D19,106.275,-107.25,90.0,bottom
D2,49.125,-69.15,90.0,bottom
D20,120.575,-51.05,90.0,bottom
D21,130.1,-69.15,90.0,bottom
D22,134.875,-88.2,90.0,bottom
D23,125.35,-107.25,90.0,bottom
D25,139.625,-51.05,90.0,bottom
D26,149.15,-69.15,90.0,bottom
D27,153.9,-88.2,90.0,bottom
D28,144.4,-107.25,90.0,bottom
D3,51.525,-88.2,90.0,bottom
D30,158.675,-51.05,90.0,bottom
D31,168.2,-69.15,90.0,bottom
D32,172.95,-88.2,90.0,bottom
D33,163.45,-107.25,90.0,bottom
D34,177.725,-51.05,90.0,bottom
D35,187.25,-69.15,90.0,bottom
D36,192.025,-88.2,90.0,bottom
D37,182.5,-107.25,90.0,bottom
D38,177.725,-127.25,90.0,bottom
D39,196.775,-51.05,90.0,bottom
D4,56.275,-107.25,90.0,bottom
D40,206.3,-69.15,90.0,bottom
D41,211.075,-88.2,90.0,bottom
D42,201.55,-107.25,90.0,bottom
D43,215.825,-51.05,90.0,bottom
D44,225.35,-69.15,90.0,bottom
D45,230.1,-88.2,90.0,bottom
D46,220.575,-107.25,90.0,bottom
D48,234.875,-51.05,90.0,bottom
D49,244.4,-69.15,90.0,bottom
D5,49.15,-126.3,90.0,bottom
D50,249.175,-88.225,90.0,bottom
D51,239.65,-107.25,90.0,bottom
D53,253.925,-51.05,90.0,bottom
D54,263.45,-69.15,90.0,bottom
D55,268.2,-88.2,90.0,bottom
D56,258.7,-107.25,90.0,bottom
D57,258.675,-127.25,90.0,bottom
D58,272.975,-51.05,90.0,bottom
D59,282.5,-69.15,90.0,bottom
D6,63.425,-50.1,90.0,bottom
D61,294.4,-107.25,90.0,bottom
D62,282.5,-127.25,90.0,bottom
D63,291.725,-51.65,90.0,bottom
D64,303.125,-88.225,90.0,bottom
D65,311.075,-50.1,90.0,bottom
D66,306.325,-69.15,90.0,bottom
D67,311.075,-107.25,90.0,bottom
D68,306.3,-126.3,90.0,bottom
D69,46.025,-75.5,90.0,bottom
D7,72.95,-69.15,90.0,bottom
D70,51.775,-98.225,90.0,bottom
D71,69.85,-49.225,180.0,bottom
D72,60.325,-125.425,0.0,bottom
D73,107.95,-49.225,180.0,bottom
D74,105.65,-125.425,0.0,bottom
D75,146.05,-49.225,180.0,bottom
D76,156.6,-125.425,0.0,bottom
D77,203.2,-49.2,180.0,bottom
D78,187.875,-125.425,0.0,bottom
D79,241.3,-49.225,180.0,bottom
D8,77.725,-88.2,90.0,bottom
D80,243.595,-125.425,0.0,bottom
D81,279.4,-49.225,180.0,bottom
D82,288.925,-125.425,0.0,bottom
D83,301.225,-73.05,270.0,bottom
D84,298.45,-101.975,270.0,bottom
F1,47.85,-52.275,270.0,bottom
MX1,43.65625,-87.22625,0.0,top
MX10,74.6125,-85.20695,0.0,top
MX12,69.85,-123.30695,0.0,top
MX13,79.375,-47.10695,0.0,top
MX14,88.9,-66.15695,0.0,top
MX15,93.6625,-85.20695,0.0,top
MX16,84.1375,-104.25695,0.0,top
MX17,93.6625,-123.30695,0.0,top
MX18,98.425,-47.10695,0.0,top
MX19,107.95,-66.15695,0.0,top
MX20,112.7125,-85.20695,0.0,top
MX21,103.1875,-104.25695,0.0,top
MX22,117.475,-47.10695,0.0,top
MX23,127.0,-66.15695,0.0,top
MX24,131.7625,-85.20695,0.0,top
MX25,122.2375,-104.25695,0.0,top
MX27,136.525,-47.10695,0.0,top
MX28,146.05,-66.15695,0.0,top
MX29,150.8125,-85.20695,0.0,top
MX3,41.275,-49.12625,0.0,top
MX30,141.2875,-104.25695,0.0,top
MX33,155.575,-47.10695,0.0,top
MX34,165.1,-66.15695,0.0,top
MX35,169.8625,-85.20695,0.0,top
MX36,160.3375,-104.25695,0.0,top
MX37,174.625,-47.10695,0.0,top
MX38,184.15,-66.15695,0.0,top
MX39,188.9125,-85.20695,0.0,top
MX4,46.0375,-66.15695,0.0,top
MX40,179.3875,-104.25695,0.0,top
MX42,174.625,-124.54255,0.0,top
MX43,193.675,-47.10695,0.0,top
MX44,203.2,-66.15695,0.0,top
MX45,207.9625,-85.20695,0.0,top
MX46,198.4375,-104.25695,0.0,top
MX47,212.725,-47.10695,0.0,top
MX48,222.25,-66.15695,0.0,top
MX49,227.0125,-85.20695,0.0,top
MX50,217.4875,-104.25695,0.0,top
MX53,231.775,-47.10695,0.0,top
MX54,241.3,-66.15695,0.0,top
MX55,246.0625,-85.20695,0.0,top
MX56,236.5375,-104.25695,0.0,top
MX58,250.825,-47.10695,0.0,top
MX59,260.35,-66.15695,0.0,top
MX6,53.18125,-107.23245,0.0,top
MX60,265.1125,-85.20695,0.0,top
MX61,255.5875,-104.25695,0.0,top
MX62,255.5875,-123.30695,0.0,top
MX63,269.875,-47.10695,0.0,top
MX64,279.4,-66.15695,0.0,top
MX66,281.78125,-104.25695,0.0,top
MX67,279.4,-123.30695,0.0,top
MX69,288.925,-47.10695,0.0,top
MX7,46.0375,-123.30695,0.0,top
MX70,296.06875,-88.18245,0.0,top
MX73,307.975,-47.10695,0.0,top
MX74,303.2125,-66.15695,0.0,top
MX75,307.975,-104.25695,0.0,top
MX76,303.2125,-123.30695,0.0,top
MX8,60.325,-47.10695,0.0,top
MX9,69.85,-66.15695,0.0,top
R_Crystal1,59.075,-90.625,90.0,bottom
R_DATA1,58.075,-75.75,270.0,bottom
R_DATA2,56.925,-75.75,270.0,bottom
R_Flash1,76.9,-65.911,270.0,bottom
R_LED1,40.53,-56.77,0.0,bottom
R_LED2,44.89,-90.27,270.0,bottom
R_RST1,37.3,-83.075,90.0,bottom
R_Shield1,58.275,-41.925,270.0,bottom
R_USB1,48.95,-48.9,0.0,bottom
R_USB2,52.775,-48.6,180.0,bottom
SW1,79.9,-61.96,0.0,bottom
SW2,36.33,-73.5,270.0,bottom
U1,59.1,-83.25,0.0,bottom
U2,78.825,-71.525,180.0,bottom
U3,47.9,-57.225,270.0,bottom
U4,50.425,-51.775,0.0,bottom
U5,66.68,-53.79,0.0,bottom
USB1,50.45,-42.8975,180.0,bottom
Y1,60.175,-93.425,180.0,bottom
